username,name,selection_bucket,current_year_rank,current_year_previous_rank,current_year_reputation,all_time_rank,all_time_reputation,all_time_signal,all_time_signal_percentile,all_time_impact,all_time_impact_percentile,platform_reputation,platform_rank,last_90d_reputation,last_90d_rank,last_90d_signal,last_90d_impact,past_year_reputation,past_year_rank,past_year_signal,past_year_impact,resolved_report_count,thanks_items_total_count,streak_length,streak_start_date,streak_end_date,streak_recent,memberships_total,completed_pentests_number,skills_count,skills,certifications_count,certifications,public_review_count,testimonial_count,recent_badges_count,latest_badge_awarded_at,top_thanks_programs,visible_membership_programs,verified,cleared,open_for_employment,location,website,created_at,segment,has_recent_public_signal,priority_score
m0chan,Aidan,current_year_top,1,1,9248,3,123910,6.734910671173346,88,16.015290519877677,81,123925,3,9021,1,6.782696177062374,15.167095115681233,31366,1,6.635235732009925,14.773071104387292,5223,718,40,2023-01-01,2026-04-01,True,0,40,37,"AI Security, AWS Security Configuration Review, AWS Services, Android, Artificial Intelligence / Machine Learning, Authentication, Azure Files, Azure Security Configuration Review, Azure Services, Blockchain Networks, Cloud Environment, CloudFront, DynamoDB, EC2, External Network, GCP Security Configuration Review, GCP Services, IAM, Initial Access, Kubernetes Engine, Lambda, Lateral Movement / Pivoting, Leaked / Breached Credentials, Linux, Network Security, RDS, REST, Reconnaissance and Asset Discovery, Route53, S3, SOAP, SQL, Web Applications, WebSockets, Windows / Active Directory, Windows Mobile, iOS",5,"CREST CRT, S+, OSCP, PenTest+, AWS Certified Cloud Practitioner",1,5,3,2026-02-04,Private Program | Private Program | Private Program | Private Program | Private Program,,True,True,,Scotland,,2018-03-05,elite_active,True,99.6
d0xing,d0xing,current_year_top,3,3,6431,2,163747,6.916443323348573,89,18.18174448767834,85,163762,2,6402,3,6.959866220735786,15.148148148148149,20526,3,6.972665148063781,15.905373831775702,5840,692,40,2023-01-01,2026-04-01,True,0,,0,,0,,0,0,3,2025-10-29,Private Program | AT&T | Private Program | Private Program | Private Program,,True,False,,,,2016-07-29,elite_active,True,99.2
godiego,diego,current_year_top,2,2,6932,5,85383,6.861386138613861,88,19.500332005312085,88,85398,5,6932,2,6.776951672862453,18.859315589353614,23185,2,6.762962962962963,19.975579975579976,2424,772,39,2023-01-01,2026-03-01,True,0,,0,,0,,1,5,3,2026-03-17,AT&T | Private Program | Private Program | Private Program | Private Program,,True,True,,,https://godiego.co,2016-12-11,elite_active,True,98.9
jayesh25,jayesh25,current_year_top,9,11,2960,6,48463,6.8925848925848925,88,22.65848670756646,92,48463,6,2916,9,7.0,20.481927710843372,11369,10,7.0,24.345454545454544,1191,225,39,2023-01-01,2026-03-01,True,0,,0,,0,,0,5,3,2026-03-17,Private Program | Private Program | Private Program | Private Program | Private Program,,True,True,,Dubai,https://ethicalinfosec.com/,2020-01-08,elite_active,True,96.6
holybugx,HolyBugx,current_year_top,4,5,3449,14,39271,6.924485125858124,89,16.77728142948309,82,39271,14,3442,4,6.933333333333334,14.710982658959537,14021,5,6.925233644859813,15.591133004926109,1433,414,40,2023-01-01,2026-04-01,True,0,,0,,0,,2,4,3,2025-10-29,Private Program | Private Program | Private Program | AT&T | Private Program,,False,False,,,,2020-09-22,active_riser,True,96.5
badcracker,mhmd berro,current_year_top,6,25,3130,19,34025,6.73962860529435,88,15.347222222222221,80,34025,19,3130,6,7.0,15.69767441860465,9661,13,6.964912280701754,15.9846547314578,2171,161,40,2023-01-01,2026-04-01,True,0,,0,,0,,3,5,3,2025-10-29,Private Program | Private Program | Private Program | Private Program | Private Program,,True,True,,,,2018-07-20,active_riser,True,94.9
arielrachamim,Ariel Rachamim,current_year_top,7,4,3088,22,33353,6.778047301394785,88,6.308210784313726,72,33353,22,3067,7,6.4728682170542635,9.36,14615,4,6.669724770642202,9.12280701754386,2698,411,36,2023-04-01,2026-03-01,True,0,,0,,0,,5,5,3,2025-10-29,Private Program | Private Program | Expedia Group VDP | Clarivate | Adobe,,True,True,,,,2020-12-09,active_riser,True,94.0
zseano,Sean,all_time_veteran,18,14,2152,9,41900,6.673444976076555,87,20.381882770870337,89,41900,9,2152,18,7.0,25.0,8305,21,7.0,21.216216216216218,1041,80,39,2023-01-01,2026-03-01,True,0,,0,,0,,0,0,3,2026-03-16,Private Program | Private Program | Private Program | Private Program | Private Program,,True,True,True,UK,https://www.twitter.com/zseano,2015-07-29,established_veteran,True,88.63
arthuraires,Arthur Aires,current_year_top,8,33,2981,40,28842,6.844466600199402,88,21.809360730593607,91,28842,40,2981,8,7.0,26.904761904761905,7122,31,6.9547169811320755,23.775510204081634,757,167,39,2023-01-01,2026-03-01,True,0,37,43,"AI Safety, AI Security, AWS Security Configuration Review, AWS Services, Android, Artificial Intelligence / Machine Learning, Authentication, Azure Services, Cloud Environment, CloudFront, Data Storage Options, DynamoDB, EC2, Electron, External Network, GCP Services, Initial Access, Kubernetes Engine, Lambda, Large Language Models, Mobile, Network Security, NoSQL, Node, OAuth, OpenID, Prompt Injection, RDS, REST, Reconnaissance and Asset Discovery, Route53, S3, SAML / SSO, SFDC (Salesforce Apps), SOAP, Software Reverse Engineering, Source Code, VPC, Web Applications, Web3, WebSockets, Windows Mobile, iOS",1,OSWE,0,5,3,2026-03-17,Private Program | Hilton | Private Program | Private Program | Private Program,,True,True,,"Macapá, AP",https://arthurair.es,2020-11-03,active_riser,True,86.45
green-jam,Jim Green,current_year_top,5,22,3435,38,28957,7.0,90,16.106048053024026,81,28964,38,3428,5,7.0,15.206896551724137,8987,17,7.0,16.610169491525422,930,46,38,2023-03-01,2026-04-01,True,0,,0,,0,,2,2,3,2025-10-29,Private Program | AT&T | Private Program | Logitech | Private Program,,True,True,,,,2022-01-18,active_riser,True,83.42
yash_005,Yash Sharma,current_year_top,12,9,2655,48,26628,6.608222490931076,87,20.049180327868854,89,26628,48,2655,12,7.0,19.285714285714285,12354,8,7.0,19.818840579710145,609,213,38,2023-02-01,2026-03-01,True,0,,0,,0,,0,3,3,2026-03-17,Glassdoor | Amazon Vulnerability Research Program | Clubhouse | Eternal | OPPO,,True,True,,,,2020-08-09,watchlist,True,81.44
